Model,Folds,Grid_search,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,Time,Pipeline_file
Gradient Boosting,5,True,0.8674891822589148,0.0339251739455365,0.6639982592196247,0.2081001270520574,0.729329714884349,0.1342922370662347,0.8157337367624811,0.0350826820953361,5.182211875915527,saved_pipelines\Gradient_Boosting_pipeline_1763223790.pkl
XGBoost,5,True,0.7758203183335672,0.0125428271292554,0.5548434535635212,0.2457557458456512,0.6125915876499655,0.1790514219341681,0.7443267776096822,0.0302269137518721,1.5907704830169678,saved_pipelines\XGBoost_pipeline_1763223792.pkl
CatBoost,5,True,0.667634147612732,0.0809671480379759,0.5939355822090688,0.2638510904102831,0.601678818777345,0.1714839640719994,0.708623298033283,0.0266641184107331,8.264787912368774,saved_pipelines\CatBoost_pipeline_1763223800.pkl
Logistic Regression,5,True,0.6068665097225722,0.066226868284957,0.5262083292708712,0.2306427706371078,0.5450335441522249,0.1506112795215674,0.659304084720121,0.0324387516349485,5.159422159194946,saved_pipelines\Logistic_Regression_pipeline_1763223992.pkl
Random Forest,5,True,0.8804586954439451,0.0150244613194954,0.857991501342596,0.1091281818986438,0.8645440225806569,0.0517066254173343,0.8910741301059002,0.013898558641883,5.099162340164185,saved_pipelines\Random_Forest_pipeline_1763223998.pkl
Gradient Boosting,5,True,0.7997655122655123,0.0154860680157638,0.5679844798076005,0.2441766069924059,0.630919581621906,0.184774123807159,0.7600605143721635,0.0362152101430818,4.219727039337158,saved_pipelines\Gradient_Boosting_pipeline_1763224002.pkl
XGBoost,5,True,0.7758203183335672,0.0125428271292554,0.5548434535635212,0.2457557458456512,0.6125915876499655,0.1790514219341681,0.7443267776096822,0.0302269137518721,1.7371165752410889,saved_pipelines\XGBoost_pipeline_1763224004.pkl
CatBoost,5,True,0.667634147612732,0.0809671480379759,0.5939355822090688,0.2638510904102831,0.601678818777345,0.1714839640719994,0.708623298033283,0.0266641184107331,8.59920048713684,saved_pipelines\CatBoost_pipeline_1763224012.pkl
Logistic Regression,5,True,0.6166012075943733,0.0918965101820761,0.4358761329105308,0.0711703753496093,0.5100967146092096,0.0785199361388283,0.6399394856278365,0.0332966551158542,0.3785433769226074,saved_pipelines\Logistic_Regression_pipeline_1763224098.pkl
Random Forest,5,True,0.7540740980214664,0.0713515407978391,0.5537977802111278,0.0723451167157199,0.6377561547965205,0.0699001350248615,0.7304084720121029,0.0315372205041945,4.809042453765869,saved_pipelines\Random_Forest_pipeline_1763224103.pkl
Gradient Boosting,5,True,0.8236878684587164,0.0539416575774568,0.5643469579659655,0.0836061616171753,0.6680635334038765,0.0724152159196983,0.762481089258699,0.0175126125609534,4.125053405761719,saved_pipelines\Gradient_Boosting_pipeline_1763224107.pkl
XGBoost,5,True,0.769905351492574,0.06145280554427,0.476877112165635,0.0949153682561514,0.5864188897167986,0.086960637475175,0.714069591527988,0.0370820301358028,1.3552556037902832,saved_pipelines\XGBoost_pipeline_1763224109.pkl
CatBoost,5,True,0.6663817121600276,0.1060377649760061,0.4189997192122223,0.0998396852645514,0.5134513712309475,0.1059541796929056,0.6635400907715583,0.0332911556269876,6.050195217132568,saved_pipelines\CatBoost_pipeline_1763224115.pkl
Logistic Regression,5,True,0.6151841026877152,0.0938744303589746,0.428630271180357,0.0776093160365012,0.5047070127941684,0.0842677028115094,0.6390317700453858,0.0335377398545696,0.3757381439208984,saved_pipelines\Logistic_Regression_pipeline_1763224231.pkl
Random Forest,5,True,0.7540740980214664,0.0713515407978391,0.5537977802111278,0.0723451167157199,0.6377561547965205,0.0699001350248615,0.7304084720121029,0.0315372205041945,4.570148944854736,saved_pipelines\Random_Forest_pipeline_1763224236.pkl
Gradient Boosting,5,True,0.6943778054112834,0.0961351454803068,0.3706631791187763,0.088951553351354,0.4814970020372177,0.0959430347039982,0.6599092284417549,0.0348864174623689,3.496689796447754,saved_pipelines\Gradient_Boosting_pipeline_1763224239.pkl
XGBoost,5,True,0.6878639458211803,0.0936518992511264,0.3693258093134592,0.0884079086488472,0.4788710362113136,0.0953173664291874,0.6574886535552193,0.0347444204501269,1.3426458835601809,saved_pipelines\XGBoost_pipeline_1763224241.pkl
CatBoost,5,True,0.6663817121600276,0.1060377649760061,0.4189997192122223,0.0998396852645514,0.5134513712309475,0.1059541796929056,0.6635400907715583,0.0332911556269876,6.164305686950684,saved_pipelines\CatBoost_pipeline_1763224247.pkl
Logistic Regression,5,True,0.6116530826015734,0.1002420487289834,0.4441343712637728,0.0778030131604218,0.5143800117522512,0.0869587952169614,0.6402420574886535,0.0330122401137328,0.3412413597106933,saved_pipelines\Logistic_Regression_pipeline_1763224465.pkl
Random Forest,5,True,0.7526259379794228,0.0662982431669333,0.5601743135027618,0.0678800861916501,0.6415524068648711,0.0650233407710412,0.7316187594553707,0.0281668238976993,8.423356056213379,saved_pipelines\Random_Forest_pipeline_1763224473.pkl
Gradient Boosting,5,True,0.6895537613875972,0.0993388470603698,0.3711414634665353,0.0893587490403105,0.4808783237031647,0.0971303803779753,0.6586989409984871,0.0344001718362867,4.180241346359253,saved_pipelines\Gradient_Boosting_pipeline_1763224478.pkl
XGBoost,5,True,0.6850315644046965,0.0995017610689067,0.3685139076741236,0.0889316421934735,0.4776231683462049,0.0971874325312905,0.6565809379727685,0.0343788747150154,1.2141852378845217,saved_pipelines\XGBoost_pipeline_1763224479.pkl
CatBoost,5,True,0.6686519364844818,0.1020480801408271,0.3966947515818163,0.0876218671281566,0.4971135674615106,0.0959600179336061,0.6574886535552193,0.0339177522725356,6.344752073287964,saved_pipelines\CatBoost_pipeline_1763224485.pkl
Logistic Regression,5,True,0.6035419308012737,0.0677456414304762,0.5221684358740599,0.2329293858574168,0.5395667634304726,0.1496486431095054,0.6547655068078668,0.0319696918411432,4.721630334854126,saved_pipelines\Logistic_Regression_pipeline_1763225776.pkl
Random Forest,5,True,0.7606178006168861,0.0633121825634935,0.6389703710013352,0.2479683541071702,0.6737772347152141,0.1734759820531128,0.7748865355521936,0.0460506022535688,4.4059224128723145,saved_pipelines\Random_Forest_pipeline_1763225781.pkl
Gradient Boosting,5,True,0.6916735039403648,0.0703762885857823,0.4248721348310971,0.1655236798701803,0.5117041292966412,0.1405400379443822,0.6750378214826022,0.0276882185603227,4.040266752243042,saved_pipelines\Gradient_Boosting_pipeline_1763225785.pkl
XGBoost,5,True,0.69202123347879,0.0510996261006966,0.4183651510983751,0.163985094903566,0.5053562420862165,0.13801553637765,0.6717095310136157,0.0286566063359795,1.4655404090881348,saved_pipelines\XGBoost_pipeline_1763225786.pkl
CatBoost,5,True,0.6444994311770744,0.08321660719362856,0.546271365040586,0.23968716495632839,0.5682018550143708,0.16476597799312023,0.6847201210287442,0.02220555900987445,7.522617816925049,saved_pipelines\CatBoost_pipeline_1763225794.pkl
