iter	Logloss
0	0.6889101417
1	0.6847642512
2	0.681058205
3	0.6776043075
4	0.6746174807
5	0.6711454897
6	0.668621645
7	0.6662590434
8	0.6638227711
9	0.6615768469
10	0.6599344771
11	0.6585000026
12	0.6573277985
13	0.6558653773
14	0.6541571459
15	0.6528795687
16	0.6519105562
17	0.6504151189
18	0.6493096658
19	0.648422947
20	0.6473699795
21	0.646731258
22	0.6459188143
23	0.6450109232
24	0.6445393248
25	0.6435481705
26	0.643013531
27	0.6424336273
28	0.6417042625
29	0.6411281826
30	0.6407264014
31	0.6403563854
32	0.639558734
33	0.6389285822
34	0.6383638514
35	0.6379514299
36	0.6375418526
37	0.6371665358
38	0.6367686646
39	0.6360420805
40	0.6354004012
41	0.6348850543
42	0.6347217025
43	0.6343696713
44	0.6337851632
45	0.6331414072
46	0.6327408346
47	0.6324809444
48	0.6321116382
49	0.6318604599
50	0.6315721733
51	0.6310224528
52	0.6306724328
53	0.6303491328
54	0.6298912968
55	0.6296445183
56	0.629305634
57	0.6288813947
58	0.6285953399
59	0.628253876
60	0.6278353316
61	0.6273130029
62	0.6269887143
63	0.6265352884
64	0.6265027659
65	0.6262960884
66	0.626055203
67	0.6257382756
68	0.6254328153
69	0.6251267048
70	0.6248869382
71	0.6246931135
72	0.6245192029
73	0.6242651316
74	0.6239959621
75	0.6237523763
76	0.6234230237
77	0.6232286902
78	0.6229867488
79	0.6227590977
80	0.6224185372
81	0.6221892119
82	0.621968496
83	0.6218726461
84	0.6216176098
85	0.6213952366
86	0.6212081857
87	0.6210174544
88	0.6209468779
89	0.6206484446
90	0.6204858173
91	0.6202737882
92	0.6201034522
93	0.6200053197
94	0.6198050806
95	0.6195332601
96	0.619164794
97	0.6189844469
98	0.618776507
99	0.6186150295
