iter	Logloss
0	0.6358869283
1	0.5943107704
2	0.5492526756
3	0.5138972421
4	0.4793485235
5	0.4529545969
6	0.4298268727
7	0.4033438895
8	0.3856583673
9	0.365682491
10	0.3530500389
11	0.3399652495
12	0.3290097884
13	0.3194175729
14	0.3122993621
15	0.3033447204
16	0.2978015034
17	0.2907286422
18	0.2873879162
19	0.281850592
20	0.2767371015
21	0.2723483388
22	0.2687363018
23	0.265382314
24	0.2619803393
25	0.2590295502
26	0.2566773894
27	0.2543673886
28	0.2523723592
29	0.2505847252
30	0.2493331371
31	0.2479642464
32	0.2462704224
33	0.2454071616
34	0.2440929413
35	0.2430754983
36	0.2419229974
37	0.2406482177
38	0.2397535163
39	0.2388679158
40	0.2381254085
41	0.2370275386
42	0.2364053109
43	0.2354977878
44	0.2347886506
45	0.2340286082
46	0.232545573
47	0.231759951
48	0.2308400597
49	0.2303224306
50	0.2298917765
51	0.2288564562
52	0.2283563993
53	0.2278760291
54	0.2273482671
55	0.2267062741
56	0.226070102
57	0.2254722598
58	0.2250607763
59	0.224612659
60	0.2241518848
61	0.2236163835
62	0.2233034369
63	0.222897649
64	0.2226642183
65	0.2223850603
66	0.2220639469
67	0.2217952372
68	0.2214901617
69	0.2208847877
70	0.2206498316
71	0.2204482461
72	0.2201810866
73	0.2197052193
74	0.2192365772
75	0.2189047303
76	0.2185663945
77	0.2182982108
78	0.2180411019
79	0.2174387077
80	0.2172847386
81	0.2170024786
82	0.2165069687
83	0.216190154
84	0.2157183502
85	0.2155098114
86	0.2153098497
87	0.2150424142
88	0.2148282784
89	0.2146251565
90	0.2143898701
91	0.2141770342
92	0.2139047518
93	0.2134691257
94	0.2130692119
95	0.2127882722
96	0.2123629607
97	0.2119815826
98	0.2118272915
99	0.2114567783
100	0.2111564795
101	0.2108549178
102	0.2107694114
103	0.2106563193
104	0.2102579148
105	0.2098769122
106	0.2097279518
107	0.2096085447
108	0.2094965703
109	0.2093387741
110	0.2092257905
111	0.2091241087
112	0.2089005935
113	0.2086016608
114	0.2084836202
115	0.2084057646
116	0.2081860424
117	0.2079806289
118	0.2077288925
119	0.2075538048
120	0.2073175352
121	0.2071563317
122	0.206843581
123	0.2067500954
124	0.206484794
125	0.2063301972
126	0.2062523013
127	0.2058373838
128	0.2057371277
129	0.2055950816
130	0.2054098898
131	0.2053053772
132	0.2052191499
133	0.2051476958
134	0.2049408737
135	0.2048152037
136	0.2046067991
137	0.2044677633
138	0.204206558
139	0.203999203
140	0.2038834772
141	0.2037935912
142	0.2036953939
143	0.2036095524
144	0.2032832591
145	0.2031442378
146	0.2030228411
147	0.2029325868
148	0.202766283
149	0.2026139181
150	0.2025012923
151	0.2024475727
152	0.2022800424
153	0.2021425508
154	0.2020166986
155	0.20171368
156	0.2015023009
157	0.2014106712
158	0.2010799528
159	0.2009017006
160	0.2008007461
161	0.2007567779
162	0.2006886527
163	0.2006277686
164	0.2005282382
165	0.2003611025
166	0.2001986041
167	0.2001423965
168	0.2000598294
169	0.2000131373
170	0.1998611109
171	0.1995768094
172	0.1994902701
173	0.1994328912
174	0.1993360079
175	0.1992014641
176	0.1991367689
177	0.1990404779
178	0.1988764831
179	0.1987802257
180	0.1985135441
181	0.198330976
182	0.1981209948
183	0.1979557798
184	0.1978695856
185	0.1977785128
186	0.1976783928
187	0.1975048356
188	0.1973997131
189	0.1972367769
190	0.1971198183
191	0.1970148767
192	0.1968262003
193	0.1967814829
194	0.1966647339
195	0.1964720768
196	0.1964523785
197	0.1963708004
198	0.1962892594
199	0.1962132924
200	0.1961625332
201	0.1960394
202	0.1959517421
203	0.1958776831
204	0.1957898584
205	0.1956349307
206	0.1955532693
207	0.1954762949
208	0.1954228844
209	0.1953553062
210	0.1952679193
211	0.1950397493
212	0.1949373285
213	0.194852306
214	0.1948045826
215	0.1946023501
216	0.1945543243
217	0.1944669242
218	0.1943006377
219	0.1941359337
220	0.1940347923
221	0.1938937396
222	0.1937826229
223	0.1937135647
224	0.1935771853
225	0.1934922068
226	0.1934017097
227	0.1932743879
228	0.1931138205
229	0.1929762508
230	0.1927819894
231	0.1927066476
232	0.1925368275
233	0.1924324942
234	0.1923233183
235	0.1922772169
236	0.1921777459
237	0.1921016927
238	0.1920291583
239	0.1918325366
240	0.1917417435
241	0.191668537
242	0.1915439183
243	0.1915043912
244	0.1914286087
245	0.1913027445
246	0.1911485046
247	0.1910457012
248	0.1909879701
249	0.1909384227
250	0.1908056756
251	0.1905569809
252	0.1904668729
253	0.1904189385
254	0.1902842083
255	0.1901939179
256	0.190064826
257	0.1900056602
258	0.189882566
259	0.1897896242
260	0.1896586226
261	0.1895530683
262	0.1894560065
263	0.1894017359
264	0.1893089067
265	0.1892542808
266	0.1891718562
267	0.1890639366
268	0.1889496581
269	0.1888236417
270	0.1886248433
271	0.1885700554
272	0.1884955725
273	0.1884719551
274	0.1884260776
275	0.1883725116
276	0.1882691656
277	0.1881754958
278	0.1881216184
279	0.1880514146
280	0.1879906335
281	0.1879575088
282	0.1878421698
283	0.1877566059
284	0.1876342709
285	0.1875472019
286	0.1874344701
287	0.1873414234
288	0.1873036078
289	0.1872165406
290	0.1871343888
291	0.1870532486
292	0.1869582647
293	0.1868919955
294	0.1868269627
295	0.1866970094
296	0.186611366
297	0.1865101228
298	0.1863866151
299	0.1862891234
300	0.1861680186
301	0.1861013493
302	0.1860329355
303	0.1858352262
304	0.1857584768
305	0.1856549671
306	0.1855924004
307	0.1855240072
308	0.1854623647
309	0.1853604383
310	0.1851883054
311	0.1850939005
312	0.1849805381
313	0.1849089483
314	0.1848278949
315	0.1847043424
316	0.1845644528
317	0.1844575584
318	0.1843644781
319	0.1843159636
320	0.1842316041
321	0.1841208922
322	0.1840582543
323	0.1839878345
324	0.1839244102
325	0.1838396084
326	0.1837509915
327	0.1836581937
328	0.1835666206
329	0.1835029802
330	0.1834115551
331	0.1832554367
332	0.1832047829
333	0.1831332814
334	0.1830893201
335	0.1829286664
336	0.1828833075
337	0.1828374568
338	0.1827018089
339	0.1826741047
340	0.18257365
341	0.1825107058
342	0.18240019
343	0.1823372328
344	0.1823337842
345	0.1822798241
346	0.1822109538
347	0.1820806361
348	0.1820223732
349	0.1819276002
350	0.1818408394
351	0.1817496861
352	0.1816952418
353	0.181643755
354	0.1816035616
355	0.1815960414
356	0.1815508729
357	0.1814510678
358	0.1813905069
359	0.1813158382
360	0.1812219014
361	0.1811416764
362	0.181079955
363	0.1810141002
364	0.1809630672
365	0.1808956623
366	0.1807952994
367	0.1807146402
368	0.1806028122
369	0.180553228
370	0.1805079871
371	0.1804170524
372	0.1803675687
373	0.1802769267
374	0.1802117124
375	0.1801390665
376	0.1801152147
377	0.1800564315
378	0.1799723416
379	0.1798937831
380	0.1798205145
381	0.1796901098
382	0.1796473424
383	0.1796095945
384	0.1795684791
385	0.1795156068
386	0.179441859
387	0.1793629159
388	0.1792983132
389	0.1792451097
390	0.1792047561
391	0.1791300295
392	0.1791027075
393	0.1790835227
394	0.1790497575
395	0.1790153848
396	0.1789278111
397	0.1788708337
398	0.1788133859
399	0.178714837
400	0.1786446436
401	0.1786236713
402	0.1785447005
403	0.1785021526
404	0.1784473674
405	0.1783928765
406	0.178292204
407	0.1782576713
408	0.1781967599
409	0.1781407441
410	0.1780785455
411	0.1779989263
412	0.1779677746
413	0.1778806292
414	0.1777935521
415	0.1777237746
416	0.177684418
417	0.1775487504
418	0.1774905102
419	0.1773991989
420	0.177329014
421	0.1772388843
422	0.1771703341
423	0.1771301531
424	0.1770798585
425	0.1770261367
426	0.1769548354
427	0.176887752
428	0.1768000768
429	0.1767304552
430	0.1766339482
431	0.1765860866
432	0.1765840594
433	0.1764989783
434	0.1764405749
435	0.176377068
436	0.1762907329
437	0.1762210659
438	0.1761651562
439	0.17610143
440	0.1760304269
441	0.175954616
442	0.1758715791
443	0.175813324
444	0.175755559
445	0.1757411421
446	0.1756320994
447	0.175544474
448	0.1755041994
449	0.1753772762
450	0.1752917738
451	0.1752147284
452	0.175143524
453	0.1750548609
454	0.1749655948
455	0.1749115668
456	0.1748340915
457	0.1747663827
458	0.1746859036
459	0.1746308411
460	0.1745842266
461	0.1745028603
462	0.1744573485
463	0.1744029254
464	0.1743574538
465	0.1743559874
466	0.1743048907
467	0.1742713711
468	0.1741847324
469	0.17412101
470	0.1740526303
471	0.1740016866
472	0.1740001267
473	0.1739984429
474	0.1738787245
475	0.1738306025
476	0.1737554974
477	0.1736996143
478	0.1736531615
479	0.1736031179
480	0.1735244637
481	0.1735210904
482	0.1734751079
483	0.1733851261
484	0.1733247153
485	0.1732659927
486	0.1732134315
487	0.1731373259
488	0.1730594753
489	0.1730215292
490	0.1729671943
491	0.172909455
492	0.1728577217
493	0.1728057365
494	0.1726988615
495	0.1726349908
496	0.1725634753
497	0.1725099752
498	0.1725087586
499	0.1724539375
500	0.1723980882
501	0.1723469288
502	0.1722454693
503	0.1721865109
504	0.1721403915
505	0.1721078861
506	0.1720556572
507	0.1720000653
508	0.1719989598
509	0.1719524193
510	0.1719198269
511	0.1718653687
512	0.1718117618
513	0.1717047795
514	0.1716243699
515	0.1715782238
516	0.1715349617
517	0.1714656129
518	0.1713894091
519	0.1713380265
520	0.1712734037
521	0.1711835146
522	0.1711377159
523	0.1710612335
524	0.17102405
525	0.1709615887
526	0.1709214465
527	0.1708685759
528	0.1707991269
529	0.1707287071
530	0.1706751191
531	0.1706373506
532	0.1705734478
533	0.1704969292
534	0.1704530661
535	0.170389284
536	0.170302915
537	0.170246659
538	0.1701956198
539	0.1701154789
540	0.1700592634
541	0.1699943715
542	0.1699488644
543	0.1698905373
544	0.1698304293
545	0.1697796518
546	0.1697214864
547	0.1696858092
548	0.1696443239
549	0.1696433252
550	0.1695940662
551	0.1695931658
552	0.169592052
553	0.1695356416
554	0.1694623888
555	0.1693730583
556	0.1693384381
557	0.1692696618
558	0.1692115324
559	0.1691043576
560	0.1690671105
561	0.1690337717
562	0.1690022879
563	0.1689491793
564	0.168889185
565	0.1688461899
566	0.1688005931
567	0.1687219927
568	0.1686613615
569	0.1686602375
570	0.1686086308
571	0.1685611461
572	0.1685124262
573	0.1684240692
574	0.1683915486
575	0.1683444587
576	0.1683199145
577	0.1682919252
578	0.1682654806
579	0.168208177
580	0.1681287323
581	0.1680569525
582	0.1680070192
583	0.1679547049
584	0.1679051265
585	0.1678464033
586	0.1678055933
587	0.1677648389
588	0.1677056362
589	0.1676781776
590	0.1676379017
591	0.1675781986
592	0.1675242445
593	0.1674986349
594	0.1674735792
595	0.1674327076
596	0.1673732899
597	0.1673375484
598	0.1672613168
599	0.1671424618
600	0.1670921754
601	0.1670357257
602	0.1669803131
603	0.1669405941
604	0.1668972582
605	0.1668509248
606	0.1668125234
607	0.1667824959
608	0.166756787
609	0.1667190302
610	0.1666468739
611	0.1666054769
612	0.1666044519
613	0.1665669864
614	0.1665151515
615	0.166440978
616	0.1664056206
617	0.1663495489
618	0.166286708
619	0.1662053626
620	0.1661826052
621	0.1661403083
622	0.1660973672
623	0.1660388806
624	0.1660017848
625	0.1660008329
626	0.1659591882
627	0.165923457
628	0.1658700434
629	0.1658207101
630	0.1658068387
631	0.1657861043
632	0.1657484146
633	0.1656854433
634	0.1656592684
635	0.1656165331
636	0.165615806
637	0.1655319448
638	0.1654784279
639	0.1654256519
640	0.165331461
641	0.1653307015
642	0.165307094
643	0.1652776985
644	0.1652767837
645	0.1652020484
646	0.1651502148
647	0.1650897019
648	0.1650201483
