iter	Passed	Remaining
415	2969	4169
416	2976	4160
417	2983	4153
418	2989	4146
419	2996	4137
420	3003	4130
421	3009	4122
422	3016	4114
423	3023	4107
424	3031	4101
425	3038	4094
426	3045	4086
427	3053	4080
428	3059	4072
429	3066	4064
430	3073	4057
431	3080	4049
432	3086	4042
433	3093	4033
434	3100	4027
435	3107	4019
436	3114	4012
437	3121	4004
438	3129	3999
439	3136	3991
440	3143	3984
441	3150	3977
442	3156	3968
443	3164	3962
444	3171	3955
445	3178	3948
446	3186	3941
447	3193	3934
448	3200	3928
449	3207	3920
450	3215	3913
451	3221	3905
452	3229	3899
453	3235	3891
454	3244	3885
455	3251	3878
456	3258	3871
457	3264	3863
458	3271	3855
459	3279	3849
460	3285	3841
461	3292	3834
462	3299	3827
463	3306	3820
464	3313	3812
465	3319	3804
466	3327	3797
467	3333	3789
468	3340	3782
469	3347	3774
470	3353	3766
471	3360	3758
472	3366	3750
473	3373	3743
474	3379	3735
475	3386	3727
476	3394	3721
477	3400	3713
478	3409	3708
479	3415	3700
480	3423	3693
481	3429	3685
482	3437	3679
483	3444	3672
484	3451	3664
485	3458	3657
486	3465	3650
487	3472	3643
488	3479	3636
489	3487	3629
490	3494	3622
491	3502	3616
492	3509	3609
493	3516	3601
494	3523	3594
495	3530	3587
496	3538	3580
497	3544	3573
498	3551	3566
499	3558	3558
500	3566	3551
501	3573	3545
502	3581	3539
503	3589	3532
504	3596	3525
505	3604	3519
506	3611	3511
507	3619	3505
508	3625	3497
509	3633	3491
510	3640	3483
511	3648	3477
512	3655	3470
513	3663	3464
514	3671	3457
515	3681	3452
516	3689	3446
517	3697	3440
518	3705	3434
519	3714	3428
520	3721	3421
521	3728	3414
522	3736	3407
523	3743	3400
524	3751	3393
525	3757	3386
526	3766	3380
527	3772	3372
528	3781	3366
529	3787	3359
530	3795	3351
531	3801	3344
532	3809	3337
533	3816	3330
534	3822	3322
535	3831	3316
536	3837	3309
537	3844	3301
538	3851	3294
539	3858	3287
540	3866	3280
541	3872	3272
542	3880	3265
543	3886	3257
544	3894	3251
545	3901	3244
546	3909	3237
547	3916	3229
548	3923	3222
549	3929	3215
550	3935	3207
551	3942	3199
552	3948	3191
553	3954	3183
554	3961	3176
555	3968	3168
556	3976	3162
557	3982	3154
558	3990	3147
559	3997	3140
560	4003	3133
561	4011	3126
562	4017	3118
563	4026	3112
564	4032	3105
565	4040	3098
566	4047	3090
567	4054	3083
568	4061	3076
569	4067	3068
570	4075	3061
571	4081	3054
572	4089	3047
573	4095	3039
574	4102	3032
575	4109	3025
576	4116	3017
577	4123	3010
578	4129	3002
579	4136	2995
580	4143	2987
581	4149	2980
582	4157	2973
583	4163	2965
584	4171	2959
585	4178	2951
586	4185	2944
587	4191	2936
588	4198	2929
589	4206	2923
590	4215	2917
591	4224	2911
592	4233	2905
593	4241	2899
594	4249	2892
595	4257	2886
596	4265	2879
597	4274	2873
598	4284	2868
599	4293	2862
600	4303	2856
601	4310	2849
602	4318	2843
603	4325	2835
604	4332	2828
605	4339	2821
606	4347	2814
607	4354	2807
608	4361	2800
